datetime,price
2024-05-16 15:18:00,530.67
2024-05-16 15:19:00,530.74
2024-05-16 15:20:00,530.68
2024-05-16 15:21:00,530.58
2024-05-16 15:22:00,530.69
2024-05-16 15:23:00,530.7688
2024-05-16 15:24:00,530.78
2024-05-16 15:25:00,530.8401
2024-05-16 15:26:00,530.87
2024-05-16 15:27:00,530.98
2024-05-16 15:28:00,531.05
2024-05-16 15:29:00,531.14
2024-05-16 15:30:00,531.09
2024-05-16 15:31:00,531.095
2024-05-16 15:32:00,531.15
2024-05-16 15:33:00,531.175
2024-05-16 15:34:00,531.3
2024-05-16 15:35:00,531.16
2024-05-16 15:36:00,531.1605
2024-05-16 15:37:00,531.06
2024-05-16 15:38:00,530.935
2024-05-16 15:39:00,530.91
2024-05-16 15:40:00,530.9
2024-05-16 15:41:00,530.83
2024-05-16 15:42:00,530.83
2024-05-16 15:43:00,530.97
2024-05-16 15:44:00,531.02
2024-05-16 15:45:00,530.95
2024-05-16 15:46:00,530.85
2024-05-16 15:47:00,530.7901
2024-05-16 15:48:00,530.89
2024-05-16 15:49:00,530.83
2024-05-16 15:50:00,530.81
2024-05-16 15:51:00,530.87
2024-05-16 15:52:00,530.915
2024-05-16 15:53:00,530.96
2024-05-16 15:54:00,530.99
2024-05-16 15:55:00,530.985
2024-05-16 15:56:00,530.95
2024-05-16 15:57:00,530.95
2024-05-16 15:58:00,530.94
2024-05-16 15:59:00,530.91
2024-05-16 16:00:00,530.705
2024-05-16 16:01:00,530.62
2024-05-16 16:02:00,530.6
2024-05-16 16:03:00,530.6695
2024-05-16 16:04:00,530.53
2024-05-16 16:05:00,530.51
2024-05-16 16:06:00,530.4113
2024-05-16 16:07:00,530.48
2024-05-16 16:08:00,530.48
2024-05-16 16:09:00,530.54
2024-05-16 16:10:00,530.615
2024-05-16 16:11:00,530.6699
2024-05-16 16:12:00,530.69
2024-05-16 16:13:00,530.67
2024-05-16 16:14:00,530.71
2024-05-16 16:15:00,530.5903
2024-05-16 16:16:00,530.65
2024-05-16 16:17:00,530.54
2024-05-16 16:18:00,530.53
2024-05-16 16:19:00,530.47
2024-05-16 16:20:00,530.47
2024-05-16 16:21:00,530.42
2024-05-16 16:22:00,530.35
2024-05-16 16:23:00,530.4918
2024-05-16 16:24:00,530.6
2024-05-16 16:25:00,530.61
2024-05-16 16:26:00,530.61
2024-05-16 16:27:00,530.605
2024-05-16 16:28:00,530.58
2024-05-16 16:29:00,530.51
2024-05-16 16:30:00,530.37
2024-05-16 16:31:00,530.3
2024-05-16 16:32:00,530.37
2024-05-16 16:33:00,530.37
2024-05-16 16:34:00,530.425
2024-05-16 16:35:00,530.285
2024-05-16 16:36:00,530.31
2024-05-16 16:37:00,530.44
2024-05-16 16:38:00,530.51
2024-05-16 16:39:00,530.515
2024-05-16 16:40:00,530.395
2024-05-16 16:41:00,530.38
2024-05-16 16:42:00,530.4
2024-05-16 16:43:00,530.49
2024-05-16 16:44:00,530.525
2024-05-16 16:45:00,530.5389
2024-05-16 16:46:00,530.445
2024-05-16 16:47:00,530.53
2024-05-16 16:48:00,530.62
2024-05-16 16:49:00,530.57
2024-05-16 16:50:00,530.62
2024-05-16 16:51:00,530.65
2024-05-16 16:52:00,530.65
2024-05-16 16:53:00,530.6995
2024-05-16 16:54:00,530.75
2024-05-16 16:55:00,530.76
2024-05-16 16:56:00,530.715
2024-05-16 16:57:00,530.73
2024-05-16 16:58:00,530.65
2024-05-16 16:59:00,530.7191
